Model,Prompt,Tau,Generated_Text,Sequence_Perplexity,Mean_Per_Token_Perplexity,Median_Per_Token_Perplexity,Std_Per_Token_Perplexity
meta-llama/Llama-3.2-1B,"Once upon a time,",2.0,"Once upon a time, there was a man named John. He was a farmer and he had a wife and a son. One day, John’s wife went out to the barn to feed the cows and the son went to the barn to feed the chickens. When John came home from the barn, he saw his wife and son sitting at the kitchen table. John asked his wife what she was doing and she told him that she was cooking some chicken for dinner. John asked his son to go out and get some more chicken and he went to the barn. When John came back, he saw that his wife had already cooked the chicken and was sitting at the kitchen",2.2403703886700463,2.760155612067404,2.1550824251043563,2.090266605559335
meta-llama/Llama-3.2-1B,"Once upon a time,",3.0,"Once upon a time, there was a man who was very rich. He had everything he could ever want, and he was happy with his life. One day, he decided to go on a vacation with his friends. He packed his bags and left for a place where he had never been before. As he was driving, his friend told him about a new restaurant that was opening in town. He told the man that he should go check it out. He said he would meet up with them later.
The man was excited about this new place and decided to check it out right away. He went inside and was greeted by a beautiful lady who was serving food.",2.650869567802614,4.076034294431858,2.294671672275424,5.182828452916886
meta-llama/Llama-3.2-1B,"Once upon a time,",4.0,"Once upon a time, there was a man and woman who lived in a small town. One day, they decided to go on a trip to see the world. The man was a very wealthy man, but the woman was a very poor woman. So, the man bought a plane ticket for them and they went on the trip.
The man was very happy with the plane ticket because he could go anywhere he wanted. But the woman was very sad because she could not go anywhere she wanted. She had no money and no job to support herself.
The man was very happy to be able to go anywhere he wanted, but the woman was very sad. The man",2.518199333290688,4.301067712663347,1.8829044035603864,6.491940354489118
meta-llama/Llama-3.2-1B,"The capital of France is,",2.0,"The capital of France is, of course, Paris. But there are many more places to see in the country. The French capital is a city of contrasts, with a rich history and a vibrant cultural scene.
The French capital is a city of contrasts. It is a city of history and culture, with a rich heritage that dates back to the Roman Empire. It is also a city of modernity and progress, with a thriving economy and a diverse range of cultural activities.
The capital of France is Paris. It is the most populous city in the country and the capital of the French Republic. It is also the most visited city in the world, with over 20",2.1300915948042496,2.7820766432179695,1.7604188309075801,2.338114660080024
meta-llama/Llama-3.2-1B,"The capital of France is,",3.0,"The capital of France is, of course, Paris. But there are many other cities worth visiting. Here are some of the most interesting ones. The city of Paris is the capital of France. It has a population of over 10 million and is the most visited city in the world. It has many attractions, including the Louvre and Notre-Dame Cathedral. The city is a great place to visit for a weekend getaway or to visit during the summer. The city is also home to many museums and art galleries.
There are many things to do in Paris. The Louvre, the Notre Dame, the Eiffel Tower, the Champs-Elysees",2.542011756762994,3.6034041033256208,2.023044269959222,3.52202219721785
meta-llama/Llama-3.2-1B,"The capital of France is,",4.0,"The capital of France is, of course, Paris. But there are many other cities and towns worth a visit. Here are some of the best.
Paris is the capital of France and the most visited city in the country. The city has a rich history and a vibrant culture. There are many attractions to see in Paris, including the Eiffel Tower, the Louvre Museum, and Notre Dame Cathedral.
Paris is also home to many famous landmarks and monuments, including the Arc de Triomphe and the Champs-Elysees. The city is also known for its many parks and gardens, including the Tuileries Gardens and the Jardin des Plantes",1.8973306724137706,2.5971085804651133,1.4569704297080253,2.768622912151193
meta-llama/Llama-3.1-8B,"Once upon a time,",2.0,"Once upon a time, there was a little boy named Jack who was very poor. He lived with his mother and his mother was very poor too. One day Jack's mother said to Jack, ""Jack, I have to go to the market to sell our cow. I will be gone for a long time. While I am gone, I want you to take good care of our only cow.""
Jack said, ""Yes, Mother. I will take good care of the cow.""
His mother left and Jack was left all alone. He was so lonely that he decided to go to the market to see his mother. He walked and walked and walked. He was",2.3379474610966584,3.1267199622930617,2.2801161379698174,3.5992831771557072
meta-llama/Llama-3.1-8B,"Once upon a time,",3.0,"Once upon a time, there was a little girl who loved to read and write. She was a voracious reader and a passionate writer, but she was never quite sure if she was a good writer. She had a lot of ideas and stories in her head, but she struggled to put them down on paper in a way that was clear and engaging.
She tried to write in different genres, but nothing seemed to click. She tried to follow the rules of writing, but she felt constrained by them. She tried to write for herself, but she was never sure if anyone else would be interested in what she had to say.
She was a writer who was always",2.1905786456804877,3.1646570246306283,1.5865279013491367,3.4214567185895977
meta-llama/Llama-3.1-8B,"Once upon a time,",4.0,"Once upon a time, there was a little girl named Sarah. She was a very happy child, and she loved to play outside with her friends. One day, Sarah was playing with her friends in the park when she saw a beautiful butterfly. She was so fascinated by the butterfly’s wings that she wanted to catch it. She chased after it, but the butterfly flew away.
Sarah was disappointed that she couldn’t catch the butterfly, but she didn’t give up. She went back to her house and looked for a butterfly net. She found one in her parents’ garage and went back to the park. This time, she was determined to catch the butterfly.
",1.879563249910196,3.134853501901752,1.3125550224600628,7.214593298698391
meta-llama/Llama-3.1-8B,"The capital of France is,",2.0,"The capital of France is, without a doubt, one of the most beautiful cities in the world. It’s a place where you can enjoy the best of French culture and history, and it’s a city that’s full of surprises. From the Eiffel Tower to the Louvre Museum, there’s so much to do and see in Paris that it can be hard to know where to start. But if you’re looking for the best things to do in Paris, here are a few ideas to get you started.
The Eiffel Tower is one of the most iconic landmarks in the world, and it’s definitely one of the best things to see in Paris.",1.7096191984670273,2.6930168392670204,1.2146699964826115,6.628417024474503
